Indicator,Measure,Year,Jan-Mar (Provisional),Apr-Jun (Provisional),Jul-Sep (Provisional),Oct-Dec (Provisional),Year-to-Date (Provisional),County,URL
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,325,348,366,315,"1,354",Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,85,74,91,60,310,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,5,10,7,6,28,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,5,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,5,<5,<5,<5,14,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,86,92,85,93,356,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,18,21,14,22,75,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,6,14,17,10,47,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,19,19,21,14,73,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2015.0,0,0,0,0,0,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,1,,1,,2,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,0,0,0,0,0,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,1,5,2,2,10,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,6,14,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,<5,7,<5,<5,12,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,0,0,0,0,0,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2016.0,10,11,10,15,46.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,11,12,15,17,55.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,23,33,38,42,136.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,32,39,47,46,164.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,42,57,55,62,216.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,10,7,8,19,44.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,8,14.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,8.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,42,46,76,54,218.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016.0,19,14,32,19,84.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,<5,<5,<5,5.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,5,<5,<5,13.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2016.0,8,5,1,4,18.0,Citrus,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=9&ddlYear=2016&selTab=1
Opioid Overdose Deaths,Count,2017.0,0,3,0,1,4,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,1,4,1,3,9,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,1,0,6,4,11,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,18,13,24,16,71,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,15,19,9,14,57,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,11,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,5,8,11,<5,27,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,9,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,6,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,0,0,3,0,3,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2017&selTab=1
Opioid Overdose Deaths,Count,2017.0,9,4,6,6,25.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,12,5,8,6,31.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,19,27,16,0,62.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,88,85,70,0,243.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,78,59,48,67,252.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,32,15,16,32,95.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,22,9,11,19,61.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,6.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,60,77,79,81,297.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,19,24,19,21,83.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,5,<5,<5,<5,14.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,5,<5,5,15.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,7,4,4,3,18.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2017&selTab=1
Opioid Overdose Deaths,Count,2015.0,1,1,1,2,5,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,2,1,2,2,7,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,2,11,7,2,22,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,9,20,12,11,52,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,17,19,11,11,58,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,7,<5,5,15,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,9,14,7,13,43,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,6,<5,5,14,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,5,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,0,6,0,1,7,Baker,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=2&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2017.0,23,21.0,29.0,52.0,125.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,33,36.0,41.0,58.0,168.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,40,7.0,4.0,7.0,58.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,53,189.0,214.0,255.0,711.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,184,229.0,218.0,276.0,907.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,48,87.0,80.0,136.0,351.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,14,45.0,26.0,69.0,154.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,9,14.0,7.0,12.0,42.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,202,227.0,230.0,241.0,900.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,81,105.0,83.0,114.0,383.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,10.0,8.0,13.0,34.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,17,24.0,23.0,34.0,98.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,28,27.0,29.0,34.0,118.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2017&selTab=1
