County,Year,Indicator,Measure,Year,Jan-Mar,Apr-Jun,Jul-Sep,Oct-Dec,Annual
Jefferson,2015,Drug Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2015,,,,,16.2
Jefferson,2015,Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015,0,0,0,0,0
Jefferson,2015,Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015,1,5,2,2,10
Jefferson,2015,All Drug Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,6,14
Jefferson,2015,Unintentional/Undetermined Non-fatal Drug Overdose Emergency Department Visits,Count,2015,<5,<5,<5,5,13
Jefferson,2015,Intentional Self-harm Non-fatal Drug Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Emergency Department visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Unintentional/undetermined Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,All Drug Non-fatal Overdose Hospitalizations,Count,2015,<5,7,<5,<5,12
Jefferson,2015,Unintentional/Undetermined Non-fatal Drug Overdose Hospitalizations,Count,2015,<5,7,<5,<5,11
Jefferson,2015,Intentional Self-harm Non-fatal Drug Overdose Hospitalizations,Count,2015,<5,5,<5,<5,7
Jefferson,2015,Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Unintentional/Undetermined Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Jefferson,2015,Florida Poison Information Network Calls Related to Opioids,Count,2015,0,0,0,0,0
Jefferson,2015,Naloxone Administered,Count,2015,0,0,0,0,0
Jefferson,2015,Naloxone Administered by EMS,Count,2015,0,0,0,0,0
Jefferson,2015,Naloxone Administered Prior to EMS,Count,2015,0,0,0,0,0
Jefferson,2015,Naloxone Administration Not Applicable/Not Recorded,Count,2015,0,0,0,0,0
Citrus,2016,Opioid Overdose Deaths,Count,2016,10,11,10,15,46
Citrus,2016,Drug Overdose Deaths,Count,2016,11,12,15,17,55
Citrus,2016,Opioid Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2016,,,,,40.5
Citrus,2016,Drug Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2016,,,,,47.6
Citrus,2016,Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016,23,33,38,42,136
Citrus,2016,Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016,32,39,47,46,164
Citrus,2016,All Drug Non-fatal Overdose Emergency Department Visits,Count,2016,42,57,55,62,216
Citrus,2016,Unintentional/Undetermined Non-fatal Drug Overdose Emergency Department Visits,Count,2016,32,30,38,48,148
Citrus,2016,Intentional Self-harm Non-fatal Drug Overdose Emergency Department Visits,Count,2016,10,26,17,14,67
Citrus,2016,Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016,10,7,8,19,44
Citrus,2016,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Emergency Department Visits,Count,2016,9,6,7,18,40
Citrus,2016,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Emergency Department visits,Count,2016,<5,<5,<5,<5,<5
Citrus,2016,Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,8,14
Citrus,2016,Unintentional/undetermined Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,8,14
Citrus,2016,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,<5
Citrus,2016,Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,8
Citrus,2016,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,6
Citrus,2016,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,<5
Citrus,2016,All Drug Non-fatal Overdose Hospitalizations,Count,2016,42,46,76,54,218
Citrus,2016,Unintentional/Undetermined Non-fatal Drug Overdose Hospitalizations,Count,2016,30,31,45,40,146
Citrus,2016,Intentional Self-harm Non-fatal Drug Overdose Hospitalizations,Count,2016,12,15,31,14,72
Citrus,2016,Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016,19,14,32,19,84
Citrus,2016,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016,16,9,26,17,68
Citrus,2016,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,5,6,<5,16
Citrus,2016,Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,5
Citrus,2016,Unintentional/Undetermined Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,5
Citrus,2016,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Citrus,2016,Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,5,<5,<5,13
Citrus,2016,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,11
Citrus,2016,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Citrus,2016,Florida Poison Information Network Calls Related to Opioids,Count,2016,8,5,1,4,18
Citrus,2016,Naloxone Administered,Count,2016,40,59,64,70,233
Citrus,2016,Naloxone Administered by EMS,Count,2016,40,59,64,69,232
Citrus,2016,Naloxone Administered Prior to EMS,Count,2016,0,0,0,1,1
Citrus,2016,Naloxone Administration Not Applicable/Not Recorded,Count,2016,0,0,0,0,0
Bradford,2017,Opioid Overdose Deaths,Count,2017,0,3,0,1,4
Bradford,2017,Drug Overdose Deaths,Count,2017,1,4,1,3,9
Bradford,2017,Opioid Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2017,,,,,14.6
Bradford,2017,Drug Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2017,,,,,21.6
Bradford,2017,Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017,1,0,6,4,11
Bradford,2017,Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017,18,13,24,16,71
Bradford,2017,All Drug Non-fatal Overdose Emergency Department Visits,Count,2017,15,19,9,14,57
Bradford,2017,Unintentional/Undetermined Non-fatal Drug Overdose Emergency Department Visits,Count,2017,9,12,7,9,37
Bradford,2017,Intentional Self-harm Non-fatal Drug Overdose Emergency Department Visits,Count,2017,6,7,<5,5,20
Bradford,2017,Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,11
Bradford,2017,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,11
Bradford,2017,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Emergency Department visits,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,5
Bradford,2017,Unintentional/undetermined Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,5
Bradford,2017,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,All Drug Non-fatal Overdose Hospitalizations,Count,2017,5,8,11,<5,27
Bradford,2017,Unintentional/Undetermined Non-fatal Drug Overdose Hospitalizations,Count,2017,<5,6,6,<5,17
Bradford,2017,Intentional Self-harm Non-fatal Drug Overdose Hospitalizations,Count,2017,<5,<5,5,<5,10
Bradford,2017,Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,9
Bradford,2017,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,8
Bradford,2017,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Unintentional/Undetermined Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,6
Bradford,2017,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,5
Bradford,2017,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,<5
Bradford,2017,Florida Poison Information Network Calls Related to Opioids,Count,2017,0,0,3,0,3
Bradford,2017,Naloxone Administered,Count,2017,9,2,12,13,36
Bradford,2017,Naloxone Administered by EMS,Count,2017,9,2,11,13,35
Bradford,2017,Naloxone Administered Prior to EMS,Count,2017,0,0,1,0,1
Bradford,2017,Naloxone Administration Not Applicable/Not Recorded,Count,2017,0,0,0,0,0
St. Johns,2017,Opioid Overdose Deaths,Count,2017,9,4,6,6,25
St. Johns,2017,Drug Overdose Deaths,Count,2017,12,5,8,6,31
St. Johns,2017,Opioid Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2017,,,,,11.7
St. Johns,2017,Drug Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2017,,,,,13.6
St. Johns,2017,Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017,19,27,16,0,62
St. Johns,2017,Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017,88,85,70,0,243
St. Johns,2017,All Drug Non-fatal Overdose Emergency Department Visits,Count,2017,78,59,48,67,252
St. Johns,2017,Unintentional/Undetermined Non-fatal Drug Overdose Emergency Department Visits,Count,2017,70,50,39,53,212
St. Johns,2017,Intentional Self-harm Non-fatal Drug Overdose Emergency Department Visits,Count,2017,8,9,9,14,40
St. Johns,2017,Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017,32,15,16,32,95
St. Johns,2017,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Emergency Department Visits,Count,2017,32,14,14,29,89
St. Johns,2017,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Emergency Department visits,Count,2017,<5,<5,<5,<5,6
St. Johns,2017,Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017,22,9,11,19,61
St. Johns,2017,Unintentional/undetermined Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2017,22,9,11,19,61
St. Johns,2017,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,<5
St. Johns,2017,Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,6
St. Johns,2017,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,6
St. Johns,2017,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017,<5,<5,<5,<5,<5
St. Johns,2017,All Drug Non-fatal Overdose Hospitalizations,Count,2017,60,77,79,81,297
St. Johns,2017,Unintentional/Undetermined Non-fatal Drug Overdose Hospitalizations,Count,2017,30,41,52,46,169
St. Johns,2017,Intentional Self-harm Non-fatal Drug Overdose Hospitalizations,Count,2017,30,37,27,35,129
St. Johns,2017,Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017,19,24,19,21,83
St. Johns,2017,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017,15,19,18,17,69
St. Johns,2017,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,5,<5,<5,14
St. Johns,2017,Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017,5,<5,<5,<5,14
St. Johns,2017,Unintentional/Undetermined Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,13
St. Johns,2017,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,<5
St. Johns,2017,Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,5,<5,5,15
St. Johns,2017,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,11
St. Johns,2017,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017,<5,<5,<5,<5,<5
St. Johns,2017,Florida Poison Information Network Calls Related to Opioids,Count,2017,7,4,4,3,18
St. Johns,2017,Naloxone Administered,Count,2017,67,61,82,87,297
St. Johns,2017,Naloxone Administered by EMS,Count,2017,65,54,71,79,269
St. Johns,2017,Naloxone Administered Prior to EMS,Count,2017,2,7,11,8,28
St. Johns,2017,Naloxone Administration Not Applicable/Not Recorded,Count,2017,0,0,0,0,0
Baker,2015,Opioid Overdose Deaths,Count,2015,1,1,1,2,5
Baker,2015,Drug Overdose Deaths,Count,2015,2,1,2,2,7
Baker,2015,Opioid Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2015,,,,,17.9
Baker,2015,Drug Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2015,,,,,24.6
Baker,2015,Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015,2,11,7,2,22
Baker,2015,Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015,9,20,12,11,52
Baker,2015,All Drug Non-fatal Overdose Emergency Department Visits,Count,2015,17,19,11,11,58
Baker,2015,Unintentional/Undetermined Non-fatal Drug Overdose Emergency Department Visits,Count,2015,17,19,11,7,54
Baker,2015,Intentional Self-harm Non-fatal Drug Overdose Emergency Department Visits,Count,2015,9,8,<5,<5,21
Baker,2015,Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,7,<5,5,15
Baker,2015,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,7,<5,<5,13
Baker,2015,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Emergency Department visits,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Unintentional/undetermined Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Baker,2015,All Drug Non-fatal Overdose Hospitalizations,Count,2015,9,14,7,13,43
Baker,2015,Unintentional/Undetermined Non-fatal Drug Overdose Hospitalizations,Count,2015,9,14,7,8,38
Baker,2015,Intentional Self-harm Non-fatal Drug Overdose Hospitalizations,Count,2015,<5,8,<5,5,17
Baker,2015,Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,6,<5,5,14
Baker,2015,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,6,<5,<5,13
Baker,2015,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Unintentional/Undetermined Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,5
Baker,2015,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,5
Baker,2015,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Baker,2015,Florida Poison Information Network Calls Related to Opioids,Count,2015,0,6,0,1,7
Baker,2015,Naloxone Administered,Count,2015,11,20,12,13,56
